ID,Date,BoatPair,LightKind,PullTime,LightDuration,Wind,ShoreDistance,MoonLight,TotalCatch,ClupCatch,StapCatch,StapSize,LimnoSize,StoloSize,,,,,
1,2015-10-05,C,Karabai,0.25,0.201388889,1.070588235,NA,0.5,14.5,13.48778983,1.012210162,1.415,NA,0.56,,,,,
2,2015-10-05,B,LED_R,0.277,0.229166667,1.070588235,0.057315228,0.5,1141.8,1141.800001,NA,NA,NA,0.755,,,,,
6,2015-10-06,A,LED_S,0.243055556,0.273611111,1.288235294,NA,0.4,9.5,8.517678155,0.982321838,0.56,NA,0.63,,,,,
5,2015-10-06,B,LED_R,0.24375,0.410416667,1.288235294,0.05696688,0.4,12.2,9.226723751,2.973276251,1.595,NA,0.55,,,,,
8,2015-10-06,C,Karabai,0.25,0.180555556,1.288235294,NA,0.4,3.5,3.475801994,NA,NA,0.67,0.36,,,,,
12,2015-10-07,A,LED_S,0.122222222,0.142361111,0.982352941,NA,0.31,159.5,0.381744996,159.1182549,0.985,NA,0.55,,,,,
14,2015-10-07,C,Karabai,0.25,0.1875,0.982352941,NA,0.31,50,49.99999996,NA,NA,NA,0.65,,,,,
19,2015-10-08,B,LED_R,0.09375,0.279861111,1.229411765,0.05045088,0.22,16.2,13.93370825,2.26629174,1.135,NA,0.48,,,,,
16,2015-10-08,C,Karabai,0.25,0.076388889,1.229411765,0.057315228,0.22,14.7,14.5368753,NA,NA,NA,0.55,,,,,
23,2015-10-09,A,LED_S,0.243055556,0.413194444,0.935294118,0.025491835,0.15,7.25,6.684002321,0.565997673,0.86,NA,0.795,,,,,
21,2015-10-09,C,Karabai,0.25,0.118055556,0.935294118,0.024987203,0.15,4,3.984378702,NA,NA,0.23,NA,,,,,
24,2015-10-09,B,LED_R,0.243055556,0.410416667,0.935294118,0.006349839,0.15,324.9,324.8999997,NA,NA,NA,0.695,,,,,
25,2015-10-10,A,LED_S,0.222222222,0.302083333,1.111764706,NA,0.09,3.5,0.5,3.000000002,14.04,23.49,NA,,,,,
27,2015-10-10,B,LED_R,0.25,0.415277778,1.111764706,0.054409464,0.09,4.7,4.489766395,0.210233608,3.36,NA,0.675,,,,,
29,2015-10-11,B,LED_R,0.25,0.400694444,0.982352941,NA,0.04,4.5,4.46776379,0.032236205,0.365,NA,0.44,,,,,
30,2015-10-13,C,Karabai,0.25,0.409722222,0.805882353,NA,0,0.85,0.850000001,NA,NA,4.32,1.03,,,,,
31,2015-10-13,B,LED_R,0.25,0.376388889,0.805882353,NA,0,19.2,19.20000001,NA,NA,NA,0.645,,,,,
32,2015-10-14,C,Karabai,0.083333333,0.243055556,1.252941176,NA,0.01,12.85,12.84772432,NA,NA,0.61,0.535,,,,,
34,2015-10-14,B,LED_R,0.25,0.405555556,1.252941176,NA,0.01,0.4,NA,0.192205683,2.295,NA,0.78,,,,,
35,2015-10-14,A,LED_S,0.220138889,0.364583333,1.252941176,NA,0.01,3.15,3.150000002,NA,NA,12.24,NA,,,,,
38,2015-10-15,A,LED_S,0.215277778,0.3375,1.023529412,NA,0.03,1.35,0.651455315,0.698544684,1.76,12.725,5.565,,,,,
36,2015-10-15,C,Karabai,0.25,0.375,1.023529412,NA,0.03,1.35,1.330341754,NA,NA,0.31,0.515,,,,,
37,2015-10-15,B,LED_R,0.247916667,0.406944444,1.023529412,NA,0.03,3.7,3.699999999,NA,NA,16.805,8.635,,,,,
41,2015-10-16,A,LED_S,0.111111111,0.254166667,0.935294118,NA,0.08,4.75,0.008610877,4.647670737,3.7,0.11,0.32,,,,,
40,2015-10-16,B,LED_R,0.25,0.409027778,0.935294118,NA,0.08,10,1.230069165,8.76993083,3.595,NA,6.79,,,,,
39,2015-10-16,C,Karabai,0.25,0.395833333,0.935294118,NA,0.08,0.8,0.8,NA,NA,17.975,NA,,,,,
42,2015-10-17,C,Karabai,0.25,0.375,1.029411765,NA,0.14,3.3,2.66647059,0.535384615,16.43,6.98,1.09,,,,,
43,2015-10-17,B,LED_R,0.240972222,0.354861111,1.029411765,NA,0.14,17,16.99999999,NA,NA,11.495,NA,,,,,
44,2015-10-18,C,Karabai,0.25,0.381944444,1.035294118,NA,0.21,11,11,NA,NA,NA,1.03,,,,,
45,2015-10-18,B,LED_R,0.239583333,0.38125,1.035294118,NA,0.21,9,8.970298519,NA,NA,9.93,3.23,,,,,
46,2015-10-18,A,LED_S,0.222222222,0.330555556,1.035294118,NA,0.21,2.15,2.15,NA,NA,10.99,NA,,,,,
47,2015-10-19,C,Karabai,0.25,0.388888889,1.023529412,NA,0.3,11.5,11.26959339,NA,NA,0.545,0.64,,,,,
48,2015-10-19,B,LED_R,0.239583333,0.424305556,1.023529412,NA,0.3,18.186,18.18600001,NA,NA,12.33,NA,,,,,
49,2015-10-19,A,LED_S,0.229166667,0.314583333,1.023529412,NA,0.3,6.8,6.752413135,NA,NA,15.82,3.17,,,,,
51,2015-10-20,B,LED_R,0.232638889,0.353472222,0.858823529,0.026351331,0.4,8.5,7.621344429,0.844821283,4.88,11.635,4.62,,,,,
50,2015-10-20,C,Karabai,0.25,0.375,0.858823529,0.021014192,0.4,61.8,61.79999999,NA,NA,10.53,0.79,,,,,
52,2015-10-20,A,LED_S,0.236111111,0.352083333,0.858823529,0.025788773,0.4,6,5.999999995,NA,NA,NA,2.79,,,,,
59,2015-10-26,A,LED_S,0.229166667,0.35,0.976470588,0.039053563,0.96,14.25,14.24999999,NA,NA,NA,NA,,,,,
62,2015-10-27,A,LED_S,0.2375,0.246527778,1.135294118,0.028169193,0.99,0.85,0.79923721,0.012176744,NA,NA,NA,,,,,
60,2015-10-27,C,Karabai,0.25,0.333333333,1.135294118,0.002619028,0.99,2,1.067613395,0.339868589,NA,NA,NA,,,,,
61,2015-10-27,B,LED_R,0.232638889,0.367361111,1.135294118,0.022167861,0.99,6,4.416903409,1.563043116,NA,NA,NA,,,,,
63,2015-11-03,B,Karabai,0.238888889,0.368055556,0.723529412,0.100778531,0.57,1.2,0.548901354,0.651098647,2.18,NA,1.25,,,,,
65,2015-11-03,A,LED_S,0.25,0.393055556,0.723529412,NA,0.57,19.2,19.09049089,0.109509116,1.22,NA,1.83,,,,,
64,2015-11-03,C,Karabai,0.25,0.363888889,0.723529412,0.020947916,0.57,29.7,29.69999998,NA,NA,1.71,1.065,,,,,
70,2015-11-05,B,Karabai,0.239583333,0.399305556,0.794117647,0.081712162,0.37,2,1.483787397,0.291492562,1.775,NA,1.39,,,,,
71,2015-11-05,A,LED_R,0.236111111,0.389583333,0.794117647,0.103183862,0.37,3.35,3.116676605,0.028749172,2.59,NA,1.665,,,,,
73,2015-11-06,B,Karabai,0.239583333,0.441666667,1.511764706,0.030808542,0.28,7.25,6.76966274,NA,NA,6.395,2.62,,,,,
72,2015-11-06,C,LED_S,0.25,0.361111111,1.511764706,0.153638595,0.28,1.5,1.40835535,NA,4.76,NA,1.525,,,,,
76,2015-11-07,B,Karabai,0.239583333,0.402777778,0.911764706,0.074649906,0.2,2.35,2.33957221,NA,NA,6.49,3.165,,,,,
77,2015-11-07,A,LED_R,0.25,0.422222222,0.911764706,0.031738893,0.2,11.5,11.48736557,NA,NA,NA,1.69,,,,,
75,2015-11-07,C,LED_S,0.25,0.371527778,0.911764706,0.005932312,0.2,6.75,6.659112991,NA,NA,5.76,0.76,,,,,
79,2015-11-08,B,Karabai,0.239583333,0.395833333,0.770588235,0.019820728,0.13,3.7,0.05689418,3.645468837,1.47,NA,1.63,,,,,
78,2015-11-08,C,LED_S,0.25,0.402083333,0.770588235,0.073943873,0.13,4.5,0.164175695,4.33582431,3.23,9.39,NA,,,,,
82,2015-11-09,B,Karabai,0.239583333,0.227083333,0.929411765,0.081716033,0.07,3.7,3.699999999,NA,NA,6.28,3.81,,,,,
83,2015-11-09,A,LED_R,0.15625,0.260416667,0.929411765,0.041347342,0.07,10.5,10.49485639,NA,2.64,NA,2.71,,,,,
81,2015-11-09,C,LED_S,0.104166667,0.322916667,0.929411765,0.002592182,0.07,70.4,70.36551329,NA,NA,NA,1.06,,,,,
84,2015-11-10,C,LED_S,0.236111111,0.426388889,0.658823529,0.002065122,0.03,3.5,2.742212379,0.285628981,2.93,NA,0.675,,,,,
85,2015-11-10,B,Karabai,0.166666667,0.303472222,0.658823529,0.038975962,0.03,13.2,8.296278909,4.903721082,2.16,NA,2.85,,,,,
86,2015-11-10,A,LED_R,0.229166667,0.392361111,0.658823529,0.031755431,0.03,23.7,NA,23.7,1.685,NA,NA,,,,,
88,2015-11-11,B,Karabai,0.0625,0.28125,1.088235294,0.008466254,0.01,33,0.106161532,32.89383844,2.325,NA,0.85,,,,,
89,2015-11-11,A,LED_R,0.229166667,0.420833333,1.088235294,0.156896014,0.01,1.5,1.498461841,NA,2.65,10.48,1.655,,,,,
91,2015-11-12,B,Karabai,0.222222222,0.371527778,1.035294118,0.05961781,0,4.2,4.091596797,0.037054186,1.405,NA,1.42,,,,,
90,2015-11-12,C,LED_S,0.125,0.331944444,1.035294118,0.049791357,0,4.5,2.485558385,2.010676611,2.22,22.69,2.26,,,,,
92,2015-11-12,A,LED_R,0.111111111,0.303472222,1.035294118,0.018851843,0,153,153.0000001,NA,NA,NA,1.465,,,,,
95,2015-11-13,A,LED_R,0.127777778,0.302777778,0.776470588,0.125902589,0.01,34.65,33.26696314,1.08290796,1.94,11.74,2.05,,,,,
93,2015-11-13,C,LED_S,0.083333333,0.270833333,0.776470588,0.036568348,0.01,123.3,34.09541132,88.30441485,NA,NA,2.215,,,,,
94,2015-11-13,B,Karabai,0.072916667,0.246527778,0.776470588,0.036849672,0.01,26.4,26.40000001,NA,NA,NA,1.655,,,,,
97,2015-11-14,B,Karabai,0.111111111,0.339930556,0.564705882,0.047226038,0.05,29.4,29.02924475,0.194758193,2.145,11.87,1.835,,,,,
98,2015-11-14,A,LED_R,0.229166667,0.39375,0.564705882,0.03600632,0.05,20.7,20.64574153,NA,NA,8.385,0.97,,,,,
96,2015-11-14,C,LED_S,0.229166667,0.373611111,0.564705882,0.035151082,0.05,15.35,15.35000001,NA,NA,NA,1.13,,,,,
100,2015-11-15,B,Karabai,0.229166667,0.375,0.882352941,0.056034323,0.1,10.45,8.934854282,1.446452429,1.78,12.09,1.525,,,,,
99,2015-11-15,C,LED_S,0.0625,0.290277778,0.882352941,0.035687933,0.1,10.5,6.926142012,3.519860972,2.58,11.22,2.43,,,,,
104,2015-11-16,A,LED_R,0.236111111,0.396527778,0.811764706,0.044232448,0.17,45.25,44.96242703,0.287572999,1.465,NA,2.06,,,,,
103,2015-11-16,B,Karabai,0.229166667,0.402777778,0.811764706,0.03864763,0.17,61.7,60.40870643,1.29129361,1.265,NA,2.07,,,,,
107,2015-11-17,A,LED_R,0.236111111,0.352083333,0.941176471,0.053339651,0.25,618.7,617.174108,1.525891687,1.71,NA,2.145,,,,,
106,2015-11-17,B,Karabai,0.238888889,0.371527778,0.941176471,0.057328067,0.25,58,58.00000006,NA,NA,NA,2.04,,,,,
109,2015-11-18,B,Karabai,0.236111111,0.385416667,0.588235294,0.033103226,0.35,59.4,58.67186509,0.728134916,1.2,NA,1.89,,,,,
108,2015-11-18,C,LED_S,0.145833333,0.377777778,0.588235294,0.039084412,0.35,153.5,153.2438894,0.256110631,1.37,NA,2.135,,,,,
110,2015-11-18,A,LED_R,0.236111111,0.395833333,0.588235294,0.063959232,0.35,319.5,319.4999996,NA,NA,NA,2.135,,,,,
112,2015-11-19,B,Karabai,0.236111111,0.368055556,0.717647059,0.042143896,0.46,35,34.63736116,0.350595477,2.62,11.755,2.22,,,,,
113,2015-11-19,A,LED_R,0.236111111,0.395833333,0.717647059,0.048233768,0.46,188,187.8094963,NA,NA,NA,2.095,,,,,
111,2015-11-19,C,LED_S,0.138888889,0.372222222,0.717647059,0.023959116,0.46,97.8,97.80000005,NA,NA,NA,1.16,,,,,
115,2015-11-20,B,Karabai,0.121527778,0.331597222,0.570588235,0.037211026,0.57,38,0.401861252,37.59813873,3.095,NA,2.375,,,,,
114,2015-11-20,C,LED_S,0.180555556,0.385416667,0.570588235,0.043513657,0.57,180.4,177.8859961,2.51400401,1.41,9.44,1.75,,,,,
116,2015-11-20,A,LED_R,0.236111111,0.401388889,0.570588235,0.039033919,0.57,133,132.5978243,NA,NA,19.62,2.12,,,,,
118,2015-11-21,B,Karabai,0.229166667,0.364583333,0.611764706,0.014435122,0.68,36.4,36.27961436,0.120385655,2.24,NA,1.795,,,,,
119,2015-11-21,A,LED_R,0.236111111,0.359027778,0.611764706,NA,0.68,35.7,35.69999999,NA,NA,NA,1.465,,,,,
117,2015-11-21,C,LED_S,0.135416667,0.326041667,0.611764706,0.026844199,0.68,207.9,206.9411818,NA,NA,NA,2.22,,,,,
121,2015-11-22,B,Karabai,0.236111111,0.378472222,0.752941176,NA,0.78,19.2,19.20000001,NA,NA,NA,2.285,,,,,
120,2015-11-22,C,LED_S,0.236111111,0.395138889,0.752941176,0.139096034,0.78,138.7,138.7,NA,NA,NA,1.24,,,,,
124,2015-11-23,B,Karabai,0.236111111,0.380555556,0.852941176,0.039058949,0.87,18.2,17.87262713,0.263001793,1.325,NA,1.31,,,,,
125,2015-11-23,A,LED_R,0.229166667,0.331944444,0.852941176,0.190986815,0.87,47.4,16.97879247,30.42120754,2.09,NA,2.075,,,,,
123,2015-11-23,C,LED_S,0.236111111,0.388194444,0.852941176,0.027868553,0.87,75.8,75.80000006,NA,NA,NA,1.235,,,,,
127,2015-11-24,B,Karabai,0.229166667,0.354166667,0.747058824,0.038508399,0.94,68,68.00000005,NA,NA,NA,1.735,,,,,
128,2015-11-24,A,LED_R,0.25,0.410416667,0.747058824,0.041909558,0.94,20.2,20.19999998,NA,NA,NA,2.405,,,,,
126,2015-11-24,C,LED_S,0.239583333,0.397916667,0.747058824,NA,0.94,172.8,172.9292317,NA,NA,15.45,1.35,,,,,
130,2015-11-25,B,Karabai,0.229166667,0.385416667,0.558823529,0.07484512,0.98,16.2,16.03650958,NA,NA,0.71,0.96,,,,,
131,2015-11-25,A,LED_R,0.277777778,0.402777778,0.558823529,0.038865889,0.98,33.7,33.70000001,NA,NA,4.055,1.19,,,,,
129,2015-11-25,C,LED_S,0.239583333,0.385416667,0.558823529,0.015183042,0.98,9.2,9.057689336,NA,NA,3.49,1.145,,,,,
137,2015-11-27,A,Karabai,0.232638889,0.35,1.252941176,0.033677767,0.99,11.2,10.88815197,0.311848021,1.94,NA,1.615,,,,,
135,2015-11-27,C,LED_R,0.145833333,0.330902778,1.252941176,0.021908539,0.99,4.5,4.403392009,NA,NA,2.78,1.22,,,,,
136,2015-11-27,B,LED_S,0.236111111,0.341666667,1.252941176,0.037804011,0.99,6.2,6.199999993,NA,NA,NA,1.65,,,,,
139,2015-11-28,B,LED_S,0.257638889,0.342361111,0.958823529,0.160663013,0.95,10.2,10.02173078,0.178269216,2.62,NA,1.86,,,,,
140,2015-11-28,A,Karabai,0.229166667,0.364583333,0.958823529,0.038832068,0.95,13.2,13.19999999,NA,NA,NA,1.385,,,,,
138,2015-11-28,C,LED_R,0.239583333,0.398611111,0.958823529,0.042301678,0.95,127.2,127.1999999,NA,NA,NA,1.485,,,,,
141,2015-11-29,C,LED_R,0.138888889,0.214583333,1.088235294,0.122986905,0.89,34.2,34.2,NA,NA,NA,1.5,,,,,
142,2015-11-29,B,LED_S,0.25,0.259722222,1.088235294,0.116481817,0.89,78,78.00000006,NA,NA,NA,1.3,,,,,
146,2015-11-30,A,Karabai,0.236111111,0.372916667,0.7,0.03460326,0.82,19.2,19.20000001,NA,NA,9.98,1.33,,,,,
144,2015-11-30,C,LED_R,0.239583333,0.363888889,0.7,0.043057125,0.82,115.2,115.2,NA,NA,NA,1.955,,,,,
145,2015-11-30,B,LED_S,0.238194444,0.390972222,0.7,0.133222408,0.82,73,72.19657531,NA,NA,NA,1.955,,,,,
147,2015-12-01,C,LED_R,0.152777778,0.186805556,1.68125,0.041569256,0.73,76.8,76.79999999,NA,NA,NA,1.395,,,,,
148,2015-12-01,B,LED_S,0.25,0.243055556,1.68125,0.035811987,0.73,22.2,22.0977208,NA,NA,NA,1.495,,,,,
151,2015-12-02,B,LED_S,0.243055556,0.354166667,0.876470588,0.058221716,0.64,21.2,20.6838173,0.395421789,1.75,NA,2.32,,,,,
152,2015-12-02,A,Karabai,0.236111111,0.413194444,0.876470588,0.034959788,0.64,72,70.87252112,NA,NA,NA,1.44,,,,,
150,2015-12-02,C,LED_R,0.126388889,0.336458333,0.876470588,0.027195839,0.64,287,287.0000002,NA,NA,NA,1.44,,,,,
155,2015-12-03,A,Karabai,0.125,0.35625,0.611764706,0.039396146,0.54,72.2,71.84878163,0.351218403,2.14,6.52,2.345,,,,,
154,2015-12-03,B,LED_S,0.25,0.441666667,0.611764706,0.031022274,0.54,107.2,105.2320234,1.967976576,1.85,NA,2.485,,,,,
153,2015-12-03,C,LED_R,0.166666667,0.353472222,0.611764706,0.040642522,0.54,172.8,172.7999999,NA,NA,NA,1.41,,,,,
156,2015-12-04,C,LED_R,0.145833333,0.30625,0.476470588,0.018658178,0.45,239.5,239.5000001,NA,NA,NA,1.36,,,,,
157,2015-12-04,B,LED_S,0.25,0.400694444,0.476470588,0.030084498,0.45,1208.8,1208.799999,NA,NA,NA,2.03,,,,,
160,2015-12-05,B,LED_S,0.25,0.320833333,0.829411765,0.025436933,0.36,114.2,114.0234701,0.176529947,1.78,NA,1.795,,,,,
162,2015-12-06,C,LED_R,0.145833333,0.31875,0.911764706,0.018990905,0.27,73.1,73.03619778,NA,NA,NA,1.305,,,,,
163,2015-12-06,B,LED_S,0.25,0.3625,0.911764706,0.027773592,0.27,23,23,NA,NA,9.015,2.565,,,,,
167,2015-12-07,A,Karabai,0.239583333,0.423611111,0.470588235,0.044889747,0.19,16,7.137263875,8.862736125,226.785,18.09,2.9,,,,,
165,2015-12-07,C,LED_R,0.145833333,0.419444444,0.470588235,0.018627085,0.19,84.8,84.79999995,NA,NA,16.82,2.17,,,,,
166,2015-12-07,B,LED_S,0.152777778,0.297222222,0.470588235,0.030114526,0.19,38,38.00000003,NA,NA,NA,2.455,,,,,
170,2015-12-08,A,Karabai,0.229166667,0.381944444,1.294117647,0.180602561,0.12,121.5,121.2828188,NA,NA,NA,2.275,,,,,
168,2015-12-08,C,LED_R,0.111111111,0.325694444,1.294117647,0.012671649,0.12,445.2,445.2000003,NA,NA,NA,1.415,,,,,
169,2015-12-08,B,LED_S,0.222222222,0.409722222,1.294117647,0.031618712,0.12,9.5,NA,9.499999994,135.29,NA,NA,,,,,
172,2015-12-09,B,LED_S,0.25,0.354166667,1.352941176,0.045873035,0.07,48,47.24297475,0.757025225,2.695,8.53,2.54,,,,,
173,2015-12-09,A,Karabai,0.125,0.292361111,1.352941176,0.02657927,0.07,208.5,208.4999999,NA,NA,NA,1.14,,,,,
171,2015-12-09,C,LED_R,0.145833333,0.33125,1.352941176,0.039084412,0.07,254.4,254.4,NA,NA,NA,1.295,,,,,
176,2015-12-10,A,Karabai,0.125,0.335416667,0.664705882,0.028268348,0.03,21.2,20.66387928,NA,NA,NA,1.755,,,,,
174,2015-12-10,C,LED_R,0.229166667,0.3875,0.664705882,0.042301678,0.03,275.6,275.3953418,NA,NA,NA,1.25,,,,,
175,2015-12-10,B,LED_S,0.131944444,0.339583333,0.664705882,0.011458074,0.03,30.4,30.40000003,NA,NA,2.48,1.15,,,,,
179,2015-12-11,A,Karabai,0.125,0.320138889,0.964705882,0.035835733,0.01,307.5,307.4999999,NA,NA,NA,1.89,,,,,
178,2015-12-11,B,LED_S,0.145833333,0.354166667,0.964705882,0.018035542,0.01,106,105.9999999,NA,NA,2.75,1.36,,,,,
182,2015-12-12,A,Karabai,0.125,0.361805556,0.541176471,0.027577936,0,343.5,343.4999997,NA,NA,NA,1.87,,,,,
180,2015-12-12,C,LED_R,0.236111111,0.390277778,0.541176471,0.042006491,0,21.2,21.2,NA,NA,NA,1.66,,,,,
181,2015-12-12,B,LED_S,0.125,0.386805556,0.541176471,0.010031611,0,199.2,199.2,NA,NA,NA,1.095,,,,,
183,2015-12-13,C,LED_R,0.145833333,0.348611111,0.605882353,0.011076417,0.02,106,105.6856194,NA,NA,NA,1.415,,,,,
184,2015-12-13,B,LED_S,0.15625,0.3625,0.605882353,0.034924224,0.02,264,252.7217248,NA,NA,0.83,1.09,,,,,
186,2015-12-14,C,LED_R,0.243055556,0.428472222,0.558823529,0.019665205,0.07,0.5,0.311074696,0.185443124,6.83,2.47,1.63,,,,,
188,2015-12-14,A,Karabai,0.229166667,0.420138889,0.558823529,0.025890901,0.07,7.5,7.483886631,NA,NA,2.45,1.74,,,,,
187,2015-12-14,B,LED_S,0.243055556,0.429166667,0.558823529,0.007503314,0.07,35,34.99999997,NA,NA,NA,1.195,,,,,
191,2015-12-15,A,Karabai,0.236111111,0.420833333,0.970588235,0.03659279,0.13,0.85,0.841870958,NA,NA,6.8,2.11,,,,,
189,2015-12-15,C,LED_R,0.260416667,0.422916667,0.970588235,0.013465076,0.13,40.4,36.29938332,NA,NA,9.135,1.47,,,,,
194,2015-12-16,A,Karabai,0.236111111,0.40625,1.017647059,0.030171673,0.21,1,0.969562036,NA,NA,1.35,1.595,,,,,
192,2015-12-16,C,LED_R,0.243055556,0.388194444,1.017647059,0.013865473,0.21,42.4,42.40000004,NA,NA,1.82,1.3,,,,,
195,2015-12-17,C,LED_R,0.243055556,0.409027778,0.947058824,0.011566,0.31,33.5,18.88584078,10.74898033,221.06,10.98,1.315,,,,,
196,2015-12-17,B,LED_S,0.104166667,0.326388889,0.947058824,0.005227496,0.31,50,49.99999996,NA,NA,NA,1.125,,,,,
198,2015-12-18,C,LED_R,0.145833333,0.346527778,1.129411765,0.006925921,0.42,40.9,40.9,NA,NA,2.4,1.49,,,,,
199,2015-12-18,B,LED_S,0.25,0.413194444,1.129411765,0.00946433,0.42,22.2,22.17586954,NA,NA,NA,1.225,,,,,
204,2015-12-20,C,LED_R,0.270833333,0.368055556,0.635294118,0.005706077,0.64,33.7,22.01132701,11.68867297,168.14,NA,1.415,,,,,
205,2015-12-20,B,LED_S,0.25,0.416666667,0.635294118,0.064155996,0.64,24.2,24.2,NA,NA,NA,2.875,,,,,
207,2015-12-21,C,LED_R,0.246527778,0.384722222,0.882352941,0.003636682,0.75,16.2,10.20953165,5.943897109,245.05,2.48,1.31,,,,,
209,2015-12-21,A,Karabai,0.236111111,0.356944444,0.882352941,0.044586967,0.75,2.85,2.85,NA,NA,NA,2.345,,,,,
208,2015-12-21,B,LED_S,0.253472222,0.420138889,0.882352941,0.013882839,0.75,30.7,30.65184311,NA,NA,2.385,1.105,,,,,
210,2015-12-22,C,LED_R,0.173611111,0.369444444,0.952941176,0.014552595,0.84,4,3.219477194,0.780522809,194.2,4.26,1.71,,,,,
212,2015-12-22,A,Karabai,0.229166667,0.4,0.952941176,0.048658818,0.84,1.85,1.849999998,NA,NA,NA,3.03,,,,,
211,2015-12-22,B,LED_S,0.246527778,0.424305556,0.952941176,0.014207628,0.84,20.2,20.17207202,NA,NA,1.46,1.325,,,,,
213,2015-12-23,C,LED_R,0.239583333,0.315277778,0.976470588,0.01495446,0.91,1.5,1.5,NA,NA,NA,1.315,,,,,
218,2015-12-30,A,Karabai,0.125,0.372222222,0.358823529,0.188010809,0.8,28.7,28.70000002,NA,NA,NA,2.5,,,,,
216,2015-12-30,C,LED_R,-0.0375,0.223263889,0.358823529,0.016814385,0.8,35.7,35.69999999,NA,NA,3.99,1.42,,,,,
217,2015-12-30,B,LED_S,0.099305556,0.320138889,0.358823529,0.031624555,0.8,40.4,40.39999999,NA,NA,8.755,2.92,,,,,
219,2015-12-31,C,LED_R,0.243055556,0.402083333,0.688235294,0.004015993,0.72,13,8.520283549,4.370870264,133.535,3.86,1.445,,,,,
220,2015-12-31,B,LED_S,0,0.292013889,0.688235294,0.057328067,0.72,26.4,15.87673186,11.37548379,128.895,5.7,2.6,,,,,
221,2015-12-31,A,Karabai,0.229166667,0.406944444,0.688235294,0.04256569,0.72,4.5,4.500000002,NA,NA,4.13,1.74,,,,,
224,2016-01-01,A,Karabai,0.229166667,0.381944444,1.011764706,0.031752848,0.61,6.5,6.359282058,NA,NA,NA,2.88,,,,,
222,2016-01-01,C,LED_R,0.083333333,0.313541667,1.011764706,0.032464639,0.61,10,10,NA,NA,3.835,2.815,,,,,
223,2016-01-01,B,LED_S,0.01875,0.303819444,1.011764706,0.015953233,0.61,54,53.36887548,NA,NA,1.96,1.86,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
